model,fold,mae_all,mae_peak,pinball_p90,composite,window,feature_set,n_features
ridge_direct,fold3,140.41639592606657,229.58564518030494,45.790507780136316,148.24199307315203,all_history,all,80
ridge_direct,fold4,102.22528802885058,150.14386780247185,21.049777788141366,100.36575991279513,all_history,all,80
hgb_resid,fold1,199.5790947857418,384.727146072474,92.74850742407862,233.7573926994288,all_history,all,80
hgb_resid,fold2,153.17974476549338,159.01408659474566,37.14401889024889,131.72290213922017,all_history,all,80
hgb_resid,fold3,145.0993055247437,246.61876801777217,61.34479726254712,158.8042426202129,all_history,all,80
hgb_resid,fold4,131.06206036913412,241.0867062208849,44.449211216326255,146.7468842940978,all_history,all,80
xgb_resid,fold1,166.41109874418802,327.5417812571806,65.69396565844615,194.60687688093742,all_history,all,80
xgb_resid,fold2,159.6367060769172,168.85768856721765,42.440323827287976,138.9637243740815,all_history,all,80
xgb_resid,fold3,121.38333377978276,242.85981570973115,38.999081646333494,141.34942793207742,all_history,all,80
xgb_resid,fold4,148.18496585318022,280.6332499560188,50.38825538933278,168.3601089912623,all_history,all,80
xgb_direct,fold1,214.83414604550316,399.4126551011029,85.4603929828462,244.3329481496517,all_history,all,80
xgb_direct,fold2,158.16498238699776,145.63355928308823,36.33836043948219,130.04023106632178,all_history,all,80
xgb_direct,fold3,131.46662030901228,284.0645751953125,54.774335167294446,161.90754974655877,all_history,all,80
xgb_direct,fold4,124.69316791352772,238.10069364659927,51.54076893761045,144.08494583826572,all_history,all,80
rf_resid,fold1,232.72513474974485,366.22606871040796,149.63925514326147,256.1582390166471,all_history,all,80
rf_resid,fold2,166.5401749133335,136.15600300594394,55.14098508191716,135.14508537483337,all_history,all,80
rf_resid,fold3,150.22348970904628,266.589946141964,72.42415830379313,169.57356035787097,all_history,all,80
rf_resid,fold4,218.70146905900359,54.42912370744155,100.9605034735275,145.87157233643975,all_history,all,80
ridge_resid,fold1,443.6215288134453,796.3757846382059,251.65987911691568,511.05547562156755,from_2025_09_24,core,42
ridge_resid,fold2,129.56535119576262,138.83416263034377,24.968428202687175,111.42661002752187,from_2025_09_24,core,42
ridge_resid,fold3,135.13591802981836,244.8473394835653,43.22214005845967,149.6665888716707,from_2025_09_24,core,42
ridge_resid,fold4,236.45772773939402,107.38201943410616,41.27225985348196,158.69792167062525,from_2025_09_24,core,42
ridge_direct,fold1,386.5705306748969,734.0961646211426,208.9409881909772,455.30231236198665,from_2025_09_24,core,42
ridge_direct,fold2,128.15467769917618,145.25335505245803,24.57920997295322,112.56918735991614,from_2025_09_24,core,42
ridge_direct,fold3,135.04096136482434,244.82452680414966,43.44713360380567,149.6572654444182,from_2025_09_24,core,42
ridge_direct,fold4,223.30193662049655,98.98677312415109,39.5645242758377,149.25990510266115,from_2025_09_24,core,42
hgb_resid,fold1,157.27106329123922,339.8430758714815,93.07085371120469,199.202625149305,from_2025_09_24,core,42
hgb_resid,fold2,146.57879666435267,183.91586150977167,57.31266153672899,139.92668909245364,from_2025_09_24,core,42
hgb_resid,fold3,184.2019321772416,231.23581457563583,115.7888367514326,184.62947781159806,from_2025_09_24,core,42
hgb_resid,fold4,175.83156350555188,28.424373259963403,23.18521687499854,101.08013710576466,from_2025_09_24,core,42
xgb_resid,fold1,186.67650099417992,345.5539945714614,116.22981693181964,220.2504122548923,from_2025_09_24,core,42
xgb_resid,fold2,143.35643234281312,180.9897896261776,58.44997438877821,137.6651479370155,from_2025_09_24,core,42
xgb_resid,fold3,166.14031478904542,240.92711325252756,108.46148224407716,177.0405878190964,from_2025_09_24,core,42
xgb_resid,fold4,140.94777625231515,63.80132518095129,27.093247400337738,95.0329351605105,from_2025_09_24,core,42
xgb_direct,fold1,308.1439724876767,622.07178811466,246.00777655510674,389.89507798925774,from_2025_09_24,core,42
xgb_direct,fold2,149.1830607822963,225.39633358226104,70.36734594435919,156.28389965469827,from_2025_09_24,core,42
xgb_direct,fold3,156.95412917364212,258.0487634995404,116.90707623254687,179.27310888319255,from_2025_09_24,core,42
xgb_direct,fold4,127.95696948823475,89.44292135799633,35.568680259159635,97.92509720334819,from_2025_09_24,core,42
rf_resid,fold1,180.98379819702134,372.2520240309083,108.77897588375271,223.9233014845337,from_2025_09_24,core,42
rf_resid,fold2,143.24261962407542,171.53525229575058,58.74937879799787,134.83176126036244,from_2025_09_24,core,42
rf_resid,fold3,128.09917913924465,199.3923266715913,74.46513591648893,138.76031475439748,from_2025_09_24,core,42
rf_resid,fold4,219.80840392184118,204.3763822566898,69.78950891898552,185.17501842172462,from_2025_09_24,core,42
ridge_resid,fold1,281.2888593972019,574.441897082048,132.336930317459,339.44438488670716,from_2025_09_24,no_weather,71
ridge_resid,fold2,256.2888741665264,104.04938422420011,39.28412352675537,167.2160770558743,from_2025_09_24,no_weather,71
ridge_resid,fold3,129.61369552454906,134.8729993424234,28.065424435937352,110.88183245218902,from_2025_09_24,no_weather,71
ridge_resid,fold4,319.8660651572477,249.69649484693775,48.86922619009279,244.61582627072374,from_2025_09_24,no_weather,71
ridge_direct,fold1,264.1070859143033,553.0323828186522,120.16009013689286,321.9952758301259,from_2025_09_24,no_weather,71
ridge_direct,fold2,239.5243775803148,111.4049792929695,37.30779580211543,160.64524173847133,from_2025_09_24,no_weather,71
ridge_direct,fold3,130.98520961261727,135.5886685609758,27.497881941027583,111.66878176280689,from_2025_09_24,no_weather,71
ridge_direct,fold4,313.5006024180009,243.91944529736065,48.18790403234192,239.56371560467701,from_2025_09_24,no_weather,71
hgb_resid,fold1,163.31235782102536,365.8492470010734,94.35108950406865,210.28117091164845,from_2025_09_24,no_weather,71
hgb_resid,fold2,147.29287609804604,154.11250486863875,49.885670516101634,129.85732361283496,from_2025_09_24,no_weather,71
hgb_resid,fold3,156.22422541906553,261.1017473328385,85.2766208204596,173.49796107347623,from_2025_09_24,no_weather,71
